City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Vestmannaeyjar,IS,63.4427,-20.2734,25.29,64,99,6.73,overcast clouds
113,Carnarvon,AU,-24.8667,113.6333,86.29,55,0,20.13,clear sky
114,Bathsheba,BB,13.2167,-59.5167,77.61,69,40,17.27,scattered clouds
115,Puerto Escondido,MX,15.85,-97.0667,73.92,78,0,4.7,clear sky
116,Beloha,MG,-25.1667,45.05,84.56,57,18,5.64,few clouds
117,Pilar,BR,-9.5972,-35.9567,75.13,79,98,7.43,overcast clouds
118,Pa Sang,TH,18.5262,98.9394,96.37,13,10,1.41,clear sky
119,Provideniya,RU,64.3833,-173.3,-18.36,90,34,5.17,scattered clouds
120,Nome,US,64.5011,-165.4064,-16.53,69,0,5.75,clear sky
121,Norman Wells,CA,65.282,-126.8329,-12.62,97,99,2.77,overcast clouds
122,Saint-Francois,FR,46.4154,3.9054,36.55,81,3,2.35,clear sky
123,Nanortalik,GL,60.1432,-45.2371,18.9,61,67,6.78,broken clouds
124,Jiuquan,CN,39.7432,98.5174,31.46,28,100,1.61,overcast clouds
125,Yaya,RU,56.206,86.44,0.77,83,9,11.88,clear sky
126,Nador,MA,35.174,-2.9287,52.05,93,75,2.3,broken clouds
127,Mandalgovi,MN,45.7625,106.2708,9.9,61,100,8.3,overcast clouds
128,Cidreira,BR,-30.1811,-50.2056,71.4,74,19,12.41,few clouds
129,Torbay,CA,47.6666,-52.7314,34.57,88,75,28.77,light shower snow
130,Goundam,ML,16.4145,-3.6708,62.22,12,47,11.97,scattered clouds
131,Tuktoyaktuk,CA,69.4541,-133.0374,-11.85,96,100,11.41,overcast clouds
132,Chardara,KZ,41.2547,67.9692,49.12,39,0,10.02,clear sky
133,Vologda,RU,59.2187,39.8886,23.81,93,100,10.31,overcast clouds
134,Buala,SB,-8.145,159.5921,81.61,82,100,10.83,light rain
135,Namibe,AO,-15.1961,12.1522,72.81,80,100,1.88,overcast clouds
136,Ikalamavony,MG,-21.15,46.5833,81.03,62,27,1.7,scattered clouds
137,Iskateley,RU,67.6803,53.1512,16.88,89,100,22.03,overcast clouds
138,Rzhev,RU,56.2624,34.3282,33.33,96,100,11.95,overcast clouds
139,Severo-Kurilsk,RU,50.6789,156.125,29.68,76,98,14.16,overcast clouds
140,Awjilah,LY,29.1081,21.2869,49.17,60,0,8.43,clear sky
141,Lima,PE,-12.0432,-77.0282,69.91,83,0,5.75,clear sky
142,Zdanice,CZ,49.0673,17.0275,42.04,89,41,3.78,scattered clouds
143,Airai,TL,-8.9266,125.4092,64.65,96,100,0.36,overcast clouds
144,Soanierana Ivongo,MG,-16.9167,49.5833,82.2,75,69,2.82,light rain
145,Capreol,CA,46.706,-80.9225,32.47,94,100,12.66,mist
146,Bengkulu,ID,-3.8004,102.2655,80.08,65,100,4.27,overcast clouds
147,Viedma,AR,-40.8135,-62.9967,73.06,60,100,13.4,overcast clouds
148,Umm Kaddadah,SD,13.6017,26.6876,68.31,13,0,21.36,clear sky
